"Date","Product_Category","Product_Name","Product_Cost","Product_Price","Items_Sold"
"2018-01-04","Art & Crafts","Barrel O' Slime",1.99,3.99,265
"2018-01-04","Art & Crafts","Etch A Sketch",10.99,20.99,50
"2018-01-04","Art & Crafts","Kids Makeup Kit",13.99,19.99,34
"2018-01-04","Art & Crafts","Magic Sand",13.99,15.99,52
"2018-01-04","Art & Crafts","PlayDoh Can",1.99,2.99,125
"2018-01-04","Art & Crafts","PlayDoh Playset",20.99,24.99,20
"2018-01-04","Art & Crafts","PlayDoh Toolkit",3.99,4.99,14
"2018-01-04","Electronics","Colorbuds",6.99,14.99,100
"2018-01-04","Electronics","Gamer Headphones",14.99,20.99,37
"2018-01-04","Electronics","Toy Robot",20.99,25.99,44
"2018-01-04","Games","Chutes & Ladders",9.99,12.99,13
"2018-01-04","Games","Classic Dominoes",7.99,9.99,6
"2018-01-04","Games","Deck Of Cards",3.99,6.99,102
"2018-01-04","Games","Glass Marbles",5.99,10.99,72
"2018-01-04","Games","Jenga",2.99,9.99,7
"2018-01-04","Games","Rubik's Cube",17.99,19.99,84
"2018-01-04","Games","Uno Card Game",3.99,7.99,6
"2018-01-04","Sports & Outdoors","Dart Gun",11.99,15.99,47
"2018-01-04","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,33
"2018-01-04","Sports & Outdoors","Nerf Gun",14.99,19.99,53
"2018-01-04","Sports & Outdoors","Splash Balls",7.99,8.99,10
"2018-01-04","Toys","Action Figure",9.99,15.99,58
"2018-01-04","Toys","Animal Figures",9.99,12.99,6
"2018-01-04","Toys","Dinosaur Figures",10.99,14.99,28
"2018-01-04","Toys","Hot Wheels 5-Pack",3.99,5.99,11
"2018-01-04","Toys","Lego Bricks",34.99,39.99,85
"2018-01-04","Toys","Mr. Potatohead",4.99,9.99,28
"2018-01-04","Toys","Plush Pony",8.99,19.99,6
"2018-01-05","Art & Crafts","Barrel O' Slime",1.99,3.99,250
"2018-01-05","Art & Crafts","Etch A Sketch",10.99,20.99,40
"2018-01-05","Art & Crafts","Kids Makeup Kit",13.99,19.99,66
"2018-01-05","Art & Crafts","Magic Sand",13.99,15.99,299
"2018-01-05","Art & Crafts","PlayDoh Can",1.99,2.99,160
"2018-01-05","Art & Crafts","PlayDoh Playset",20.99,24.99,22
"2018-01-05","Art & Crafts","PlayDoh Toolkit",3.99,4.99,65
"2018-01-05","Electronics","Colorbuds",6.99,14.99,26
"2018-01-05","Electronics","Gamer Headphones",14.99,20.99,27
"2018-01-05","Electronics","Toy Robot",20.99,25.99,48
"2018-01-05","Games","Chutes & Ladders",9.99,12.99,40
"2018-01-05","Games","Deck Of Cards",3.99,6.99,187
"2018-01-05","Games","Glass Marbles",5.99,10.99,55
"2018-01-05","Games","Jenga",2.99,9.99,68
"2018-01-05","Games","Monopoly",13.99,19.99,9
"2018-01-05","Games","Rubik's Cube",17.99,19.99,96
"2018-01-05","Games","Uno Card Game",3.99,7.99,23
"2018-01-05","Sports & Outdoors","Dart Gun",11.99,15.99,24
"2018-01-05","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,7
"2018-01-05","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,57
"2018-01-05","Sports & Outdoors","Nerf Gun",14.99,19.99,56
"2018-01-05","Sports & Outdoors","Splash Balls",7.99,8.99,58
"2018-01-05","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,3
"2018-01-05","Toys","Action Figure",9.99,15.99,150
"2018-01-05","Toys","Animal Figures",9.99,12.99,58
"2018-01-05","Toys","Dino Egg",9.99,10.99,16
"2018-01-05","Toys","Hot Wheels 5-Pack",3.99,5.99,35
"2018-01-05","Toys","Lego Bricks",34.99,39.99,200
"2018-01-05","Toys","Mr. Potatohead",4.99,9.99,13
"2018-01-05","Toys","Plush Pony",8.99,19.99,25
"2018-01-05","Toys","Teddy Bear",10.99,12.99,8
"2018-01-06","Art & Crafts","Barrel O' Slime",1.99,3.99,304
"2018-01-06","Art & Crafts","Etch A Sketch",10.99,20.99,41
"2018-01-06","Art & Crafts","Kids Makeup Kit",13.99,19.99,43
"2018-01-06","Art & Crafts","Magic Sand",13.99,15.99,527
"2018-01-06","Art & Crafts","PlayDoh Can",1.99,2.99,284
"2018-01-06","Art & Crafts","PlayDoh Playset",20.99,24.99,58
"2018-01-06","Art & Crafts","PlayDoh Toolkit",3.99,4.99,61
"2018-01-06","Electronics","Colorbuds",6.99,14.99,200
"2018-01-06","Electronics","Gamer Headphones",14.99,20.99,18
"2018-01-06","Electronics","Toy Robot",20.99,25.99,63
"2018-01-06","Games","Chutes & Ladders",9.99,12.99,23
"2018-01-06","Games","Classic Dominoes",7.99,9.99,24
"2018-01-06","Games","Deck Of Cards",3.99,6.99,255
"2018-01-06","Games","Glass Marbles",5.99,10.99,41
"2018-01-06","Games","Jenga",2.99,9.99,121
"2018-01-06","Games","Monopoly",13.99,19.99,25
"2018-01-06","Games","Rubik's Cube",17.99,19.99,214
"2018-01-06","Sports & Outdoors","Dart Gun",11.99,15.99,118
"2018-01-06","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,17
"2018-01-06","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,83
"2018-01-06","Sports & Outdoors","Nerf Gun",14.99,19.99,39
"2018-01-06","Sports & Outdoors","Splash Balls",7.99,8.99,69
"2018-01-06","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,11
"2018-01-06","Toys","Action Figure",9.99,15.99,160
"2018-01-06","Toys","Animal Figures",9.99,12.99,37
"2018-01-06","Toys","Dinosaur Figures",10.99,14.99,67
"2018-01-06","Toys","Hot Wheels 5-Pack",3.99,5.99,41
"2018-01-06","Toys","Lego Bricks",34.99,39.99,292
"2018-01-06","Toys","Mr. Potatohead",4.99,9.99,100
"2018-01-06","Toys","Plush Pony",8.99,19.99,27
"2018-01-06","Toys","Teddy Bear",10.99,12.99,25
"2018-01-07","Art & Crafts","Barrel O' Slime",1.99,3.99,412
"2018-01-07","Art & Crafts","Etch A Sketch",10.99,20.99,48
"2018-01-07","Art & Crafts","Kids Makeup Kit",13.99,19.99,35
"2018-01-07","Art & Crafts","Magic Sand",13.99,15.99,122
"2018-01-07","Art & Crafts","PlayDoh Can",1.99,2.99,93
"2018-01-07","Art & Crafts","PlayDoh Playset",20.99,24.99,46
"2018-01-07","Art & Crafts","PlayDoh Toolkit",3.99,4.99,40
"2018-01-07","Electronics","Colorbuds",6.99,14.99,95
"2018-01-07","Electronics","Gamer Headphones",14.99,20.99,65
"2018-01-07","Electronics","Toy Robot",20.99,25.99,5
"2018-01-07","Games","Chutes & Ladders",9.99,12.99,10
"2018-01-07","Games","Classic Dominoes",7.99,9.99,13
"2018-01-07","Games","Deck Of Cards",3.99,6.99,216
"2018-01-07","Games","Glass Marbles",5.99,10.99,74
"2018-01-07","Games","Jenga",2.99,9.99,51
"2018-01-07","Games","Monopoly",13.99,19.99,15
"2018-01-07","Games","Rubik's Cube",17.99,19.99,176
"2018-01-07","Sports & Outdoors","Dart Gun",11.99,15.99,78
"2018-01-07","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,143
"2018-01-07","Sports & Outdoors","Nerf Gun",14.99,19.99,83
"2018-01-07","Sports & Outdoors","Splash Balls",7.99,8.99,26
"2018-01-07","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,13
"2018-01-07","Toys","Action Figure",9.99,15.99,90
"2018-01-07","Toys","Animal Figures",9.99,12.99,47
"2018-01-07","Toys","Dino Egg",9.99,10.99,20
"2018-01-07","Toys","Dinosaur Figures",10.99,14.99,11
"2018-01-07","Toys","Hot Wheels 5-Pack",3.99,5.99,36
"2018-01-07","Toys","Lego Bricks",34.99,39.99,75
"2018-01-07","Toys","Mr. Potatohead",4.99,9.99,7
"2018-01-07","Toys","Plush Pony",8.99,19.99,28
"2018-01-07","Toys","Teddy Bear",10.99,12.99,6
"2018-01-08","Art & Crafts","Barrel O' Slime",1.99,3.99,211
"2018-01-08","Art & Crafts","Etch A Sketch",10.99,20.99,29
"2018-01-08","Art & Crafts","Kids Makeup Kit",13.99,19.99,12
"2018-01-08","Art & Crafts","Magic Sand",13.99,15.99,103
"2018-01-08","Art & Crafts","PlayDoh Can",1.99,2.99,164
"2018-01-08","Art & Crafts","PlayDoh Toolkit",3.99,4.99,23
"2018-01-08","Electronics","Colorbuds",6.99,14.99,126
"2018-01-08","Electronics","Gamer Headphones",14.99,20.99,70
"2018-01-08","Games","Chutes & Ladders",9.99,12.99,18
"2018-01-08","Games","Classic Dominoes",7.99,9.99,5
"2018-01-08","Games","Deck Of Cards",3.99,6.99,89
"2018-01-08","Games","Glass Marbles",5.99,10.99,28
"2018-01-08","Games","Jenga",2.99,9.99,6
"2018-01-08","Games","Monopoly",13.99,19.99,34
"2018-01-08","Games","Rubik's Cube",17.99,19.99,62
"2018-01-08","Games","Uno Card Game",3.99,7.99,8
"2018-01-08","Sports & Outdoors","Dart Gun",11.99,15.99,21
"2018-01-08","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,46
"2018-01-08","Sports & Outdoors","Nerf Gun",14.99,19.99,67
"2018-01-08","Sports & Outdoors","Splash Balls",7.99,8.99,8
"2018-01-08","Toys","Action Figure",9.99,15.99,68
"2018-01-08","Toys","Animal Figures",9.99,12.99,40
"2018-01-08","Toys","Dino Egg",9.99,10.99,4
"2018-01-08","Toys","Dinosaur Figures",10.99,14.99,6
"2018-01-08","Toys","Hot Wheels 5-Pack",3.99,5.99,20
"2018-01-08","Toys","Lego Bricks",34.99,39.99,99
"2018-01-08","Toys","Mr. Potatohead",4.99,9.99,5
"2018-01-08","Toys","Plush Pony",8.99,19.99,14
"2018-01-08","Toys","Teddy Bear",10.99,12.99,10
"2018-01-09","Art & Crafts","Barrel O' Slime",1.99,3.99,41
"2018-01-09","Art & Crafts","Etch A Sketch",10.99,20.99,22
"2018-01-09","Art & Crafts","Kids Makeup Kit",13.99,19.99,32
"2018-01-09","Art & Crafts","Magic Sand",13.99,15.99,22
"2018-01-09","Art & Crafts","PlayDoh Can",1.99,2.99,114
"2018-01-09","Art & Crafts","PlayDoh Toolkit",3.99,4.99,7
"2018-01-09","Electronics","Colorbuds",6.99,14.99,118
"2018-01-09","Electronics","Gamer Headphones",14.99,20.99,115
"2018-01-09","Electronics","Toy Robot",20.99,25.99,4
"2018-01-09","Games","Deck Of Cards",3.99,6.99,140
"2018-01-09","Games","Glass Marbles",5.99,10.99,74
"2018-01-09","Games","Jenga",2.99,9.99,26
"2018-01-09","Games","Rubik's Cube",17.99,19.99,107
"2018-01-09","Games","Uno Card Game",3.99,7.99,10
"2018-01-09","Sports & Outdoors","Dart Gun",11.99,15.99,22
"2018-01-09","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,24
"2018-01-09","Sports & Outdoors","Nerf Gun",14.99,19.99,24
"2018-01-09","Sports & Outdoors","Splash Balls",7.99,8.99,59
"2018-01-09","Toys","Action Figure",9.99,15.99,14
"2018-01-09","Toys","Dinosaur Figures",10.99,14.99,21
"2018-01-09","Toys","Hot Wheels 5-Pack",3.99,5.99,18
"2018-01-09","Toys","Lego Bricks",34.99,39.99,48
"2018-01-09","Toys","Plush Pony",8.99,19.99,18
"2018-01-10","Art & Crafts","Barrel O' Slime",1.99,3.99,177
"2018-01-10","Art & Crafts","Etch A Sketch",10.99,20.99,13
"2018-01-10","Art & Crafts","Kids Makeup Kit",13.99,19.99,12
"2018-01-10","Art & Crafts","Magic Sand",13.99,15.99,106
"2018-01-10","Art & Crafts","PlayDoh Can",1.99,2.99,158
"2018-01-10","Art & Crafts","PlayDoh Playset",20.99,24.99,13
"2018-01-10","Art & Crafts","PlayDoh Toolkit",3.99,4.99,14
"2018-01-10","Electronics","Colorbuds",6.99,14.99,158
"2018-01-10","Electronics","Gamer Headphones",14.99,20.99,44
"2018-01-10","Electronics","Toy Robot",20.99,25.99,6
"2018-01-10","Games","Chutes & Ladders",9.99,12.99,8
"2018-01-10","Games","Deck Of Cards",3.99,6.99,93
"2018-01-10","Games","Glass Marbles",5.99,10.99,45
"2018-01-10","Games","Jenga",2.99,9.99,20
"2018-01-10","Games","Monopoly",13.99,19.99,17
"2018-01-10","Games","Rubik's Cube",17.99,19.99,36
"2018-01-10","Games","Uno Card Game",3.99,7.99,11
"2018-01-10","Sports & Outdoors","Dart Gun",11.99,15.99,11
"2018-01-10","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,9
"2018-01-10","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,22
"2018-01-10","Sports & Outdoors","Nerf Gun",14.99,19.99,24
"2018-01-10","Sports & Outdoors","Splash Balls",7.99,8.99,6
"2018-01-10","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,11
"2018-01-10","Toys","Action Figure",9.99,15.99,29
"2018-01-10","Toys","Animal Figures",9.99,12.99,32
"2018-01-10","Toys","Dinosaur Figures",10.99,14.99,42
"2018-01-10","Toys","Hot Wheels 5-Pack",3.99,5.99,17
"2018-01-10","Toys","Lego Bricks",34.99,39.99,70
"2018-01-10","Toys","Mr. Potatohead",4.99,9.99,8
"2018-01-10","Toys","Teddy Bear",10.99,12.99,11
"2018-01-11","Art & Crafts","Barrel O' Slime",1.99,3.99,167
"2018-01-11","Art & Crafts","Etch A Sketch",10.99,20.99,18
"2018-01-11","Art & Crafts","Kids Makeup Kit",13.99,19.99,7
"2018-01-11","Art & Crafts","Magic Sand",13.99,15.99,176
"2018-01-11","Art & Crafts","PlayDoh Can",1.99,2.99,121
"2018-01-11","Art & Crafts","PlayDoh Toolkit",3.99,4.99,42
"2018-01-11","Electronics","Colorbuds",6.99,14.99,138
"2018-01-11","Electronics","Gamer Headphones",14.99,20.99,59
"2018-01-11","Games","Classic Dominoes",7.99,9.99,5
"2018-01-11","Games","Deck Of Cards",3.99,6.99,112
"2018-01-11","Games","Glass Marbles",5.99,10.99,49
"2018-01-11","Games","Jenga",2.99,9.99,52
"2018-01-11","Games","Rubik's Cube",17.99,19.99,77
"2018-01-11","Sports & Outdoors","Dart Gun",11.99,15.99,38
"2018-01-11","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,9
"2018-01-11","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,19
"2018-01-11","Sports & Outdoors","Nerf Gun",14.99,19.99,29
"2018-01-11","Sports & Outdoors","Splash Balls",7.99,8.99,42
"2018-01-11","Toys","Action Figure",9.99,15.99,22
"2018-01-11","Toys","Animal Figures",9.99,12.99,99
"2018-01-11","Toys","Dinosaur Figures",10.99,14.99,24
"2018-01-11","Toys","Hot Wheels 5-Pack",3.99,5.99,11
"2018-01-11","Toys","Lego Bricks",34.99,39.99,29
"2018-01-11","Toys","Mr. Potatohead",4.99,9.99,19
"2018-01-11","Toys","Plush Pony",8.99,19.99,4
"2018-01-12","Art & Crafts","Barrel O' Slime",1.99,3.99,407
"2018-01-12","Art & Crafts","Etch A Sketch",10.99,20.99,52
"2018-01-12","Art & Crafts","Kids Makeup Kit",13.99,19.99,13
"2018-01-12","Art & Crafts","Magic Sand",13.99,15.99,137
"2018-01-12","Art & Crafts","PlayDoh Can",1.99,2.99,163
"2018-01-12","Art & Crafts","PlayDoh Playset",20.99,24.99,15
"2018-01-12","Art & Crafts","PlayDoh Toolkit",3.99,4.99,35
"2018-01-12","Electronics","Colorbuds",6.99,14.99,78
"2018-01-12","Electronics","Gamer Headphones",14.99,20.99,16
"2018-01-12","Electronics","Toy Robot",20.99,25.99,25
"2018-01-12","Games","Chutes & Ladders",9.99,12.99,3
"2018-01-12","Games","Classic Dominoes",7.99,9.99,7
"2018-01-12","Games","Deck Of Cards",3.99,6.99,130
"2018-01-12","Games","Glass Marbles",5.99,10.99,152
"2018-01-12","Games","Jenga",2.99,9.99,12
"2018-01-12","Games","Rubik's Cube",17.99,19.99,130
"2018-01-12","Sports & Outdoors","Dart Gun",11.99,15.99,32
"2018-01-12","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,38
"2018-01-12","Sports & Outdoors","Nerf Gun",14.99,19.99,44
"2018-01-12","Sports & Outdoors","Splash Balls",7.99,8.99,21
"2018-01-12","Toys","Action Figure",9.99,15.99,26
"2018-01-12","Toys","Animal Figures",9.99,12.99,46
"2018-01-12","Toys","Dinosaur Figures",10.99,14.99,51
"2018-01-12","Toys","Hot Wheels 5-Pack",3.99,5.99,18
"2018-01-12","Toys","Lego Bricks",34.99,39.99,164
"2018-01-12","Toys","Mr. Potatohead",4.99,9.99,29
"2018-01-13","Art & Crafts","Barrel O' Slime",1.99,3.99,398
"2018-01-13","Art & Crafts","Etch A Sketch",10.99,20.99,71
"2018-01-13","Art & Crafts","Kids Makeup Kit",13.99,19.99,8
"2018-01-13","Art & Crafts","Magic Sand",13.99,15.99,259
"2018-01-13","Art & Crafts","PlayDoh Can",1.99,2.99,194
"2018-01-13","Art & Crafts","PlayDoh Playset",20.99,24.99,14
"2018-01-13","Art & Crafts","PlayDoh Toolkit",3.99,4.99,27
"2018-01-13","Electronics","Colorbuds",6.99,14.99,103
"2018-01-13","Electronics","Gamer Headphones",14.99,20.99,46
"2018-01-13","Electronics","Toy Robot",20.99,25.99,18
"2018-01-13","Games","Classic Dominoes",7.99,9.99,11
"2018-01-13","Games","Deck Of Cards",3.99,6.99,398
"2018-01-13","Games","Glass Marbles",5.99,10.99,161
"2018-01-13","Games","Jenga",2.99,9.99,33
"2018-01-13","Games","Monopoly",13.99,19.99,28
"2018-01-13","Games","Rubik's Cube",17.99,19.99,96
"2018-01-13","Games","Uno Card Game",3.99,7.99,4
"2018-01-13","Sports & Outdoors","Dart Gun",11.99,15.99,77
"2018-01-13","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,6
"2018-01-13","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,197
"2018-01-13","Sports & Outdoors","Nerf Gun",14.99,19.99,142
"2018-01-13","Sports & Outdoors","Splash Balls",7.99,8.99,43
"2018-01-13","Sports & Outdoors","Supersoaker Water Gun",11.99,14.99,10
"2018-01-13","Toys","Action Figure",9.99,15.99,61
"2018-01-13","Toys","Animal Figures",9.99,12.99,123
"2018-01-13","Toys","Dino Egg",9.99,10.99,23
"2018-01-13","Toys","Dinosaur Figures",10.99,14.99,54
"2018-01-13","Toys","Hot Wheels 5-Pack",3.99,5.99,11
"2018-01-13","Toys","Lego Bricks",34.99,39.99,64
"2018-01-13","Toys","Mr. Potatohead",4.99,9.99,56
"2018-01-13","Toys","Plush Pony",8.99,19.99,7
"2018-01-13","Toys","Teddy Bear",10.99,12.99,5
"2018-01-14","Art & Crafts","Barrel O' Slime",1.99,3.99,450
"2018-01-14","Art & Crafts","Etch A Sketch",10.99,20.99,19
"2018-01-14","Art & Crafts","Kids Makeup Kit",13.99,19.99,26
"2018-01-14","Art & Crafts","Magic Sand",13.99,15.99,348
"2018-01-14","Art & Crafts","PlayDoh Can",1.99,2.99,232
"2018-01-14","Art & Crafts","PlayDoh Playset",20.99,24.99,6
"2018-01-14","Art & Crafts","PlayDoh Toolkit",3.99,4.99,40
"2018-01-14","Electronics","Colorbuds",6.99,14.99,84
"2018-01-14","Electronics","Gamer Headphones",14.99,20.99,75
"2018-01-14","Electronics","Toy Robot",20.99,25.99,20
"2018-01-14","Games","Classic Dominoes",7.99,9.99,9
"2018-01-14","Games","Deck Of Cards",3.99,6.99,343
"2018-01-14","Games","Glass Marbles",5.99,10.99,63
"2018-01-14","Games","Jenga",2.99,9.99,57
"2018-01-14","Games","Monopoly",13.99,19.99,9
"2018-01-14","Games","Rubik's Cube",17.99,19.99,142
"2018-01-14","Games","Uno Card Game",3.99,7.99,33
"2018-01-14","Sports & Outdoors","Dart Gun",11.99,15.99,83
"2018-01-14","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,8
"2018-01-14","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,250
"2018-01-14","Sports & Outdoors","Nerf Gun",14.99,19.99,53
"2018-01-14","Sports & Outdoors","Splash Balls",7.99,8.99,44
"2018-01-14","Toys","Action Figure",9.99,15.99,71
"2018-01-14","Toys","Animal Figures",9.99,12.99,63
"2018-01-14","Toys","Dino Egg",9.99,10.99,14
"2018-01-14","Toys","Dinosaur Figures",10.99,14.99,53
"2018-01-14","Toys","Hot Wheels 5-Pack",3.99,5.99,35
"2018-01-14","Toys","Lego Bricks",34.99,39.99,117
"2018-01-14","Toys","Mr. Potatohead",4.99,9.99,138
"2018-01-14","Toys","Plush Pony",8.99,19.99,44
"2018-01-14","Toys","Teddy Bear",10.99,12.99,19
"2018-01-15","Art & Crafts","Barrel O' Slime",1.99,3.99,157
"2018-01-15","Art & Crafts","Etch A Sketch",10.99,20.99,24
"2018-01-15","Art & Crafts","Kids Makeup Kit",13.99,19.99,23
"2018-01-15","Art & Crafts","Magic Sand",13.99,15.99,98
"2018-01-15","Art & Crafts","PlayDoh Can",1.99,2.99,71
"2018-01-15","Electronics","Colorbuds",6.99,14.99,112
"2018-01-15","Electronics","Gamer Headphones",14.99,20.99,41
"2018-01-15","Electronics","Toy Robot",20.99,25.99,14
"2018-01-15","Games","Classic Dominoes",7.99,9.99,9
"2018-01-15","Games","Deck Of Cards",3.99,6.99,132
"2018-01-15","Games","Glass Marbles",5.99,10.99,57
"2018-01-15","Games","Jenga",2.99,9.99,24
"2018-01-15","Games","Monopoly",13.99,19.99,22
"2018-01-15","Games","Rubik's Cube",17.99,19.99,86
"2018-01-15","Sports & Outdoors","Dart Gun",11.99,15.99,25
"2018-01-15","Sports & Outdoors","Mini Basketball Hoop",8.99,24.99,22
"2018-01-15","Sports & Outdoors","Mini Ping Pong Set",6.99,9.99,12
"2018-01-15","Sports & Outdoors","Nerf Gun",14.99,19.99,42
"2018-01-15","Sports & Outdoors","Splash Balls",7.99,8.99,42
"2018-01-15","Toys","Action Figure",9.99,15.99,38
"2018-01-15","Toys","Animal Figures",9.99,12.99,46
"2018-01-15","Toys","Dino Egg",9.99,10.99,12
"2018-01-15","Toys","Dinosaur Figures",10.99,14.99,43
"2018-01-15","Toys","Hot Wheels 5-Pack",3.99,5.99,26
"2018-01-15","Toys","Lego Bricks",34.99,39.99,115
"2018-01-15","Toys","Mr. Potatohead",4.99,9.99,14
"2018-01-15","Toys","Teddy Bear",10.99,12.99,10
